date,value
2023-05-08,12256.918
2023-05-09,12179.5527
2023-05-10,12306.4414
2023-05-11,12328.5068
2023-05-12,12284.7432
2023-05-15,12365.209
2023-05-16,12343.0527
2023-05-17,12500.5664
2023-05-18,12688.8379
2023-05-19,12657.8975
2023-05-22,12720.7764
2023-05-23,12560.2451
2023-05-24,12484.1621
2023-05-25,12698.0938
2023-05-26,12975.6875
2023-05-30,13017.4258
2023-05-31,12935.2852
2023-06-01,13100.9814
2023-06-02,13240.7656
2023-06-05,13229.4287
2023-06-06,13276.418
2023-06-07,13104.8945
2023-06-08,13238.5234
2023-06-09,13259.1436
2023-06-12,13461.9209
2023-06-13,13573.3203
2023-06-14,13626.4766
2023-06-15,13782.8203
2023-06-16,13689.5713
2023-06-20,13667.2939
2023-06-21,13502.1982
2023-06-22,13630.6084
2023-06-23,13492.5156
2023-06-26,13335.7783
2023-06-27,13555.6729
2023-06-28,13591.75
2023-06-29,13591.3311
2023-06-30,13787.9229
2023-07-03,13816.7725
2023-07-05,13791.6543
2023-07-06,13679.043
2023-07-07,13660.7158
2023-07-10,13685.4814
2023-07-11,13760.6992
2023-07-12,13918.9629
2023-07-13,14138.5703
2023-07-14,14113.7031
2023-07-17,14244.9482
2023-07-18,14353.6426
2023-07-19,14358.0186
2023-07-20,14063.3066
2023-07-21,14032.8057
2023-07-24,14058.8662
2023-07-25,14144.5557
2023-07-26,14127.2822
2023-07-27,14050.1074
2023-07-28,14316.6572
2023-07-31,14346.0234
2023-08-01,14283.9131
2023-08-02,13973.4473
2023-08-03,13959.7148
2023-08-04,13909.2383
2023-08-07,13994.3984
2023-08-08,13884.3242
2023-08-09,13722.0156
2023-08-10,13737.9854
2023-08-11,13644.8496
2023-08-14,13788.3311
2023-08-15,13631.0469
2023-08-16,13474.6279
2023-08-17,13316.9316
2023-08-18,13290.7764
2023-08-21,13497.5898
2023-08-22,13505.873
2023-08-23,13721.0322
2023-08-24,13463.9717
2023-08-25,13590.6465
2023-08-28,13705.1309
2023-08-29,13943.7568
2023-08-30,14019.3105
2023-08-31,14034.9678
2023-09-01,14031.8145
2023-09-05,14020.9521
2023-09-06,13872.4707
2023-09-07,13748.832
2023-09-08,13761.5254
2023-09-11,13917.8945
2023-09-12,13773.6143
2023-09-13,13813.585
2023-09-14,13926.0527
2023-09-15,13708.335
2023-09-18,13710.2373
2023-09-19,13678.1855
2023-09-20,13469.1279
2023-09-21,13223.9854
2023-09-22,13211.8066
2023-09-25,13271.3193
2023-09-26,13063.6094
2023-09-27,13092.8486
2023-09-28,13201.2764
2023-09-29,13219.3223
2023-10-02,13307.7725
2023-10-03,13059.4658
2023-10-04,13236.0098
2023-10-05,13219.834
2023-10-06,13431.3408
2023-10-09,13484.2393
2023-10-10,13562.8438
2023-10-11,13659.6768
2023-10-12,13574.2197
2023-10-13,13407.2344
2023-10-16,13567.9834
2023-10-17,13533.7471
2023-10-18,13314.3027
2023-10-19,13186.1758
2023-10-20,12983.8076
2023-10-23,13018.3291
2023-10-24,13139.875
2023-10-25,12821.2246
2023-10-26,12595.6055
2023-10-27,12643.0107
2023-10-30,12789.4824
2023-10-31,12851.2383
2023-11-01,13061.4688
2023-11-02,13294.1904
2023-11-03,13478.2832
2023-11-06,13518.7793
2023-11-07,13639.8555
2023-11-08,13650.4141
2023-11-09,13521.4482
2023-11-10,13798.1074
2023-11-13,13767.7432
2023-11-14,14094.3818
2023-11-15,14103.8359
2023-11-16,14113.6729
2023-11-17,14125.4814
2023-11-20,14284.5342
2023-11-21,14199.9824
2023-11-22,14265.8574
2023-11-24,14250.8545
2023-11-27,14241.0225
2023-11-28,14281.7559
2023-11-29,14258.4902
2023-11-30,14226.2188
2023-12-01,14305.0322
2023-12-04,14185.4941
2023-12-05,14229.9121
2023-12-06,14146.7119
2023-12-07,14339.9941
2023-12-08,14403.9727
2023-12-11,14432.4863
2023-12-12,14533.3965
2023-12-13,14733.9639
2023-12-14,14761.5586
2023-12-15,14813.9199
2023-12-18,14904.8135
2023-12-19,15003.2236
2023-12-20,14777.9424
2023-12-21,14963.8662
2023-12-22,14992.9727
2023-12-26,15074.5732
2023-12-27,15099.1768
2023-12-28,15095.1367
2023-12-29,15011.3525
2024-01-02,14765.9395
2024-01-03,14592.2109
2024-01-04,14510.2998
2024-01-05,14524.0732
2024-01-08,14843.7686
2024-01-09,14857.71
2024-01-10,14969.6494
2024-01-11,14970.1846
2024-01-12,14972.7598
2024-01-16,14944.3467
2024-01-17,14855.6221
2024-01-18,15055.6484
2024-01-19,15310.9678
2024-01-22,15360.2852
2024-01-23,15425.9434
2024-01-24,15481.918
2024-01-25,15510.4951
2024-01-26,15455.3633
2024-01-29,15628.0449
2024-01-30,15509.8965
2024-01-31,15164.0117
2024-02-01,15361.6416
2024-02-02,15628.9541
2024-02-05,15597.6768
2024-02-06,15608.998
2024-02-07,15756.6445
2024-02-08,15793.7148
2024-02-09,15990.6641
2024-02-12,15942.5449
2024-02-13,15655.5986
2024-02-14,15859.1465
2024-02-15,15906.1738
2024-02-16,15775.6543
2024-02-20,15630.7832
2024-02-21,15580.8691
2024-02-22,16041.6211
2024-02-23,15996.8232
2024-02-26,15976.251
2024-02-27,16035.3008
2024-02-28,15947.7383
2024-02-29,16091.9229
2024-03-01,16274.9414
2024-03-04,16207.5098
2024-03-05,15939.5879
2024-03-06,16031.543
2024-03-07,16273.375
2024-03-08,16085.1133
2024-03-11,16019.2744
2024-03-12,16265.6357
2024-03-13,16177.7666
2024-03-14,16128.5293
2024-03-15,15973.1738
2024-03-18,16103.4482
2024-03-19,16166.791
2024-03-20,16369.4072
2024-03-21,16401.8359
2024-03-22,16428.8184
2024-03-25,16384.4668
2024-03-26,16315.6982
2024-03-27,16399.5215
2024-03-28,16379.458
2024-04-01,16396.832
2024-04-02,16240.4492
2024-04-03,16277.458
2024-04-04,16049.082
2024-04-05,16248.5205
2024-04-08,16253.9551
2024-04-09,16306.6387
2024-04-10,16170.3604
2024-04-11,16442.1973
2024-04-12,16175.0938
2024-04-15,15885.0186
2024-04-16,15865.251
2024-04-17,15683.3721
2024-04-18,15601.499
2024-04-19,15282.0098
2024-04-22,15451.3057
2024-04-23,15696.6396
2024-04-24,15712.749
2024-04-25,15611.7598
2024-04-26,15927.9004
2024-04-29,15983.084
2024-04-30,15657.8223
2024-05-01,15605.4814
2024-05-02,15840.958
2024-05-03,16156.3281
2024-05-06,16349.2451
2024-05-07,16332.5557
2024-05-08,16302.7559
2024-05-09,16346.2646
2024-05-10,16340.8682
2024-05-13,16388.2383
2024-05-14,16511.1797
2024-05-15,16742.3906
2024-05-16,16698.3203
2024-05-17,16685.9668
2024-05-20,16794.875
2024-05-21,16832.625
2024-05-22,16801.543
2024-05-23,16736.0332
2024-05-24,16920.7949
2024-05-28,17019.8809
2024-05-29,16920.5801
2024-05-30,16737.0781
2024-05-31,16735.0156
2024-06-03,16828.6699
2024-06-04,16857.0469
2024-06-05,17187.9043
2024-06-06,17173.1211
2024-06-07,17133.125
2024-06-10,17192.5293
2024-06-11,17343.5469
2024-06-12,17608.4355
2024-06-13,17667.5605
2024-06-14,17688.8828
2024-06-17,17857.0195
2024-06-18,17862.2324
2024-06-20,17721.5879
2024-06-21,17689.3613
2024-06-24,17496.8164
2024-06-25,17717.6543
2024-06-26,17805.1562
2024-06-27,17858.6836
2024-06-28,17732.6035
2024-07-01,17879.2988
2024-07-02,18028.7637
2024-07-03,18188.3008
